val_loss,epoch,step,train_loss
0.25166234374046326,0,285,
,0,285,0.4917023181915283
0.22120119631290436,1,571,
,1,571,0.2306915819644928
0.21093925833702087,2,857,
,2,857,0.2135019749403
0.20509544014930725,3,1143,
,3,1143,0.20576347410678864
0.2013167291879654,4,1429,
,4,1429,0.20095430314540863
0.1984890252351761,5,1715,
,5,1715,0.19769735634326935
0.19630271196365356,6,2001,
,6,2001,0.19526150822639465
0.19455833733081818,7,2287,
,7,2287,0.19336062669754028
0.1932380050420761,8,2573,
,8,2573,0.19181571900844574
0.19197359681129456,9,2859,
,9,2859,0.19055061042308807
0.1911245435476303,10,3145,
,10,3145,0.18948163092136383
0.19019410014152527,11,3431,
,11,3431,0.18858832120895386
0.1894431859254837,12,3717,
,12,3717,0.1878391057252884
0.1889667809009552,13,4003,
,13,4003,0.18714620172977448
0.18827183544635773,14,4289,
,14,4289,0.1865159571170807
0.18777285516262054,15,4575,
,15,4575,0.18599407374858856
0.18733572959899902,16,4861,
,16,4861,0.1854853630065918
0.1868174970149994,17,5147,
,17,5147,0.18503181636333466
0.18637174367904663,18,5433,
,18,5433,0.18460820615291595
0.18608027696609497,19,5719,
,19,5719,0.18424494564533234
0.18574900925159454,20,6005,
,20,6005,0.18387947976589203
0.18541941046714783,21,6291,
,21,6291,0.18358656764030457
0.1851264387369156,22,6577,
,22,6577,0.18332520127296448
0.1849701851606369,23,6863,
,23,6863,0.18308450281620026
0.18469898402690887,24,7149,
,24,7149,0.18286024034023285
0.18462464213371277,25,7435,
,25,7435,0.18263393640518188
0.18438148498535156,26,7721,
,26,7721,0.18247203528881073
0.1843937635421753,27,8007,
,27,8007,0.18229395151138306
0.18414005637168884,28,8293,
,28,8293,0.1821342259645462
0.18389365077018738,29,8579,
,29,8579,0.18193648755550385
0.18387942016124725,30,8865,
,30,8865,0.181818887591362
0.18369092047214508,31,9151,
,31,9151,0.18167267739772797
0.1835384964942932,32,9437,
,32,9437,0.1815575808286667
0.18344801664352417,33,9723,
,33,9723,0.18143658339977264
0.1832483410835266,34,10009,
,34,10009,0.18129853904247284
0.18324479460716248,35,10295,
,35,10295,0.18118563294410706
0.18300102651119232,36,10581,
,36,10581,0.18109317123889923
0.18300843238830566,37,10867,
,37,10867,0.18096709251403809
0.18294033408164978,38,11153,
,38,11153,0.18085208535194397
0.18276268243789673,39,11439,
,39,11439,0.18076801300048828
0.18270018696784973,40,11725,
,40,11725,0.18066400289535522
0.18267859518527985,41,12011,
,41,12011,0.1805892288684845
0.1825374811887741,42,12297,
,42,12297,0.18051783740520477
0.1825954020023346,43,12583,
,43,12583,0.1804308444261551
0.18233762681484222,44,12869,
,44,12869,0.18032854795455933
0.18230055272579193,45,13155,
,45,13155,0.1802697330713272
0.18222525715827942,46,13441,
,46,13441,0.1802012175321579
0.18221142888069153,47,13727,
,47,13727,0.18012572824954987
0.1820889562368393,48,14013,
,48,14013,0.18005770444869995
0.18210910260677338,49,14299,
,49,14299,0.17999514937400818
0.18210338056087494,50,14585,
,50,14585,0.17994661629199982
0.18207991123199463,51,14871,
,51,14871,0.17986960709095
0.1819317638874054,52,15157,
,52,15157,0.17982007563114166
0.18199273943901062,53,15443,
,53,15443,0.17975279688835144
0.18195106089115143,54,15729,
,54,15729,0.17971420288085938
0.18178577721118927,55,16015,
,55,16015,0.17964337766170502
0.1816621720790863,56,16301,
,56,16301,0.1795680969953537
0.18169081211090088,57,16587,
,57,16587,0.1795547753572464
0.18173184990882874,58,16873,
,58,16873,0.1794600486755371
0.1815916746854782,59,17159,
,59,17159,0.17945510149002075
0.1814858764410019,60,17445,
,60,17445,0.17939266562461853
0.181467205286026,61,17731,
,61,17731,0.17937695980072021
0.18154630064964294,62,18017,
,62,18017,0.179321750998497
0.18141420185565948,63,18303,
,63,18303,0.17925873398780823
0.18146316707134247,64,18589,
,64,18589,0.17920318245887756
0.18139754235744476,65,18875,
,65,18875,0.1791696399450302
0.1813935935497284,66,19161,
,66,19161,0.17910881340503693
0.18122689425945282,67,19447,
,67,19447,0.17908594012260437
0.18125344812870026,68,19733,
,68,19733,0.1790371984243393
0.18120333552360535,69,20019,
,69,20019,0.17903098464012146
0.18118396401405334,70,20305,
,70,20305,0.17898470163345337
0.18115438520908356,71,20591,
,71,20591,0.17896662652492523
0.1811121255159378,72,20877,
,72,20877,0.17889843881130219
0.18105743825435638,73,21163,
,73,21163,0.17885218560695648
0.18107686936855316,74,21449,
,74,21449,0.17883220314979553
0.18102096021175385,75,21735,
,75,21735,0.17877796292304993
0.1810392439365387,76,22021,
,76,22021,0.17877289652824402
0.1809346228837967,77,22307,
,77,22307,0.17872944474220276
0.18094508349895477,78,22593,
,78,22593,0.17869113385677338
0.18092335760593414,79,22879,
,79,22879,0.17868386209011078
0.18101608753204346,80,23165,
,80,23165,0.17866162955760956
0.18096014857292175,81,23451,
,81,23451,0.17860890924930573
0.18087242543697357,82,23737,
,82,23737,0.178594708442688
0.18073643743991852,83,24023,
,83,24023,0.1785261183977127
0.1807299554347992,84,24309,
,84,24309,0.17852480709552765
0.18074919283390045,85,24595,
,85,24595,0.17847272753715515
0.1807563155889511,86,24881,
,86,24881,0.17844079434871674
0.180877223610878,87,25167,
,87,25167,0.17845074832439423
0.1806403249502182,88,25453,
,88,25453,0.17841246724128723
0.18062607944011688,89,25739,
,89,25739,0.17839966714382172
0.18057899177074432,90,26025,
,90,26025,0.17836815118789673
0.1806955188512802,91,26311,
,91,26311,0.17830829322338104
0.18058454990386963,92,26597,
,92,26597,0.1783123016357422
0.18053963780403137,93,26883,
,93,26883,0.17826640605926514
0.1806369423866272,94,27169,
,94,27169,0.1782672107219696
0.18058061599731445,95,27455,
,95,27455,0.17822737991809845
0.18046407401561737,96,27741,
,96,27741,0.17823179066181183
0.18057158589363098,97,28027,
,97,28027,0.17817005515098572
0.18045291304588318,98,28313,
,98,28313,0.17815913259983063
0.18053942918777466,99,28599,
,99,28599,0.17814107239246368
0.180450901389122,100,28885,
,100,28885,0.17812402546405792
0.1803818792104721,101,29171,
,101,29171,0.1780923306941986
0.1803504079580307,102,29457,
,102,29457,0.17808713018894196
0.18044690787792206,103,29743,
,103,29743,0.1780448853969574
0.18058961629867554,104,30029,
,104,30029,0.17803753912448883
0.18033470213413239,105,30315,
,105,30315,0.17802418768405914
0.18043462932109833,106,30601,
,106,30601,0.17797896265983582
0.18031243979930878,107,30887,
,107,30887,0.17796435952186584
0.18026673793792725,108,31173,
,108,31173,0.17795425653457642
0.18033869564533234,109,31459,
,109,31459,0.17792534828186035
0.18025189638137817,110,31745,
,110,31745,0.17791685461997986
0.18021216988563538,111,32031,
