train_loss_step,epoch,step,val_loss_step,val_loss_epoch,train_loss_epoch
1.4244065284729004,0,0,,,
1.3601746559143066,0,1,,,
1.3904798030853271,0,2,,,
1.2725296020507812,0,3,,,
1.3551833629608154,0,4,,,
1.18498957157135,0,5,,,
1.1424827575683594,0,6,,,
1.158921241760254,0,7,,,
1.1482957601547241,0,8,,,
1.0445698499679565,0,9,,,
1.1097519397735596,0,10,,,
1.0385658740997314,0,11,,,
1.060992956161499,0,12,,,
1.0145035982131958,0,13,,,
1.0034557580947876,0,14,,,
0.993617832660675,0,15,,,
0.9977484941482544,0,16,,,
1.0287283658981323,0,17,,,
0.9725294709205627,0,18,,,
0.9951897263526917,0,19,,,
0.9926711916923523,0,20,,,
0.9794459342956543,0,21,,,
0.9284056425094604,0,22,,,
0.9704427719116211,0,23,,,
1.0162969827651978,0,24,,,
0.9418762922286987,0,25,,,
0.9387211203575134,0,26,,,
0.9884152412414551,0,27,,,
0.9253080487251282,0,28,,,
0.973020613193512,0,29,,,
0.8823240995407104,0,30,,,
0.9348759055137634,0,31,,,
1.0170451402664185,0,32,,,
0.9065420627593994,0,33,,,
0.9314639568328857,0,34,,,
0.9499930143356323,0,35,,,
0.9195054769515991,0,36,,,
0.9302977919578552,0,37,,,
0.9086644649505615,0,38,,,
0.810895562171936,0,39,,,
0.9034062027931213,0,40,,,
0.9062115550041199,0,41,,,
0.9069086909294128,0,42,,,
0.8859552145004272,0,43,,,
0.8430795669555664,0,44,,,
0.8440146446228027,0,45,,,
0.9011111855506897,0,46,,,
0.901595950126648,0,47,,,
0.8745918273925781,0,48,,,
0.9218356609344482,0,49,,,
0.8674120306968689,0,50,,,
0.8836225271224976,0,51,,,
0.8588907718658447,0,52,,,
0.8689468502998352,0,53,,,
0.8641440272331238,0,54,,,
0.8945848345756531,0,55,,,
0.851129412651062,0,56,,,
0.8246475458145142,0,57,,,
0.7861073613166809,0,58,,,
0.85768061876297,0,59,,,
0.8312157988548279,0,60,,,
0.8530229926109314,0,61,,,
0.8691132068634033,0,62,,,
0.7962893843650818,0,63,,,
0.7721772193908691,0,64,,,
0.8233363032341003,0,65,,,
0.862926721572876,0,66,,,
0.862941324710846,0,67,,,
0.7820709347724915,0,68,,,
0.7893778085708618,0,69,,,
0.8176181316375732,0,70,,,
0.861912727355957,0,71,,,
0.7930890917778015,0,72,,,
0.8022593855857849,0,73,,,
0.7816141843795776,0,74,,,
0.807666003704071,0,75,,,
0.8126530647277832,0,76,,,
0.7863791584968567,0,77,,,
0.782315731048584,0,78,,,
0.8216760754585266,0,79,,,
0.8669469356536865,0,80,,,
0.793436586856842,0,81,,,
0.8089274168014526,0,82,,,
0.7825680375099182,0,83,,,
0.8434926867485046,0,84,,,
0.7912561297416687,0,85,,,
0.8157951235771179,0,86,,,
0.8689562082290649,0,87,,,
0.772626519203186,0,88,,,
0.8083747625350952,0,89,,,
0.7828346490859985,0,90,,,
0.7945727109909058,0,91,,,
0.7664791345596313,0,92,,,
0.8221510648727417,0,93,,,
0.8145120739936829,0,94,,,
0.7849650382995605,0,95,,,
0.7423218488693237,0,96,,,
0.7931671142578125,0,97,,,
0.7244720458984375,0,98,,,
0.8221664428710938,0,99,,,
0.8045133948326111,0,100,,,
0.733302652835846,0,101,,,
0.7855531573295593,0,102,,,
0.8004230260848999,0,103,,,
0.7526800036430359,0,104,,,
0.7465592622756958,0,105,,,
0.782377302646637,0,106,,,
0.7598708868026733,0,107,,,
0.8010415434837341,0,108,,,
0.7228134870529175,0,109,,,
0.7850059270858765,0,110,,,
0.7385791540145874,0,111,,,
0.7632191181182861,0,112,,,
0.7729387283325195,0,113,,,
0.739335298538208,0,114,,,
0.7957448363304138,0,115,,,
0.7637515664100647,0,116,,,
0.7406865954399109,0,117,,,
0.7191189527511597,0,118,,,
0.745259165763855,0,119,,,
0.7877069115638733,0,120,,,
0.7567170858383179,0,121,,,
0.7326209545135498,0,122,,,
0.7535245418548584,0,123,,,
0.7527219653129578,0,124,,,
0.7015867829322815,0,125,,,
0.7500036358833313,0,126,,,
0.7008498907089233,0,127,,,
0.7415050268173218,0,128,,,
0.7270189523696899,0,129,,,
0.7381402254104614,0,130,,,
0.8357803821563721,0,131,,,
0.7832721471786499,0,132,,,
0.7154529094696045,0,133,,,
0.7561324238777161,0,134,,,
0.7618919014930725,0,135,,,
0.8135638236999512,0,136,,,
0.8066838979721069,0,137,,,
0.7508484125137329,0,138,,,
0.6943269371986389,0,139,,,
0.7768771648406982,0,140,,,
0.7227998375892639,0,141,,,
0.7641712427139282,0,142,,,
0.7617697715759277,0,143,,,
0.7305020093917847,0,144,,,
0.705635130405426,0,145,,,
0.7336790561676025,0,146,,,
0.7210386395454407,0,147,,,
0.7710912823677063,0,148,,,
0.7495633363723755,0,149,,,
0.6892456412315369,0,150,,,
0.7025756239891052,0,151,,,
0.7509283423423767,0,152,,,
0.7837656736373901,0,153,,,
0.7303429841995239,0,154,,,
0.7144140005111694,0,155,,,
0.7474321722984314,0,156,,,
0.7364811897277832,0,157,,,
0.6960339546203613,0,158,,,
0.7313259840011597,0,159,,,
0.7626290321350098,0,160,,,
0.7351094484329224,0,161,,,
0.743499219417572,0,162,,,
0.7425504326820374,0,163,,,
0.7216233611106873,0,164,,,
0.7341612577438354,0,165,,,
0.7471251487731934,0,166,,,
0.73586106300354,0,167,,,
0.7338946461677551,0,168,,,
0.7550604939460754,0,169,,,
0.7304531335830688,0,170,,,
0.7458582520484924,0,171,,,
0.7013933062553406,0,172,,,
0.7320899963378906,0,173,,,
0.7428702712059021,0,174,,,
0.6961284875869751,0,175,,,
0.7746159434318542,0,176,,,
0.7441195249557495,0,177,,,
0.7350814342498779,0,178,,,
0.7404509782791138,0,179,,,
0.7172363996505737,0,180,,,
0.7530168294906616,0,181,,,
0.728186309337616,0,182,,,
0.7561755180358887,0,183,,,
0.7343589067459106,0,184,,,
0.7091549038887024,0,185,,,
0.7186763286590576,0,186,,,
0.7032092213630676,0,187,,,
0.734373152256012,0,188,,,
0.7521539926528931,0,189,,,
0.7115038633346558,0,190,,,
0.7216401100158691,0,191,,,
0.7310319542884827,0,192,,,
0.7720381021499634,0,193,,,
0.7099400162696838,0,194,,,
0.7438787817955017,0,195,,,
0.7232873439788818,0,196,,,
0.7379835247993469,0,197,,,
0.6804320216178894,0,198,,,
0.7509142160415649,0,199,,,
0.7488123774528503,0,200,,,
0.719319224357605,0,201,,,
0.7289507985115051,0,202,,,
0.7462108135223389,0,203,,,
0.6756920218467712,0,204,,,
0.6860768795013428,0,205,,,
0.7026058435440063,0,206,,,
0.7196405529975891,0,207,,,
0.7467284202575684,0,208,,,
0.6715697646141052,0,209,,,
0.6921889185905457,0,210,,,
0.7430553436279297,0,211,,,
0.7412790656089783,0,212,,,
0.683494508266449,0,213,,,
0.7045811414718628,0,214,,,
0.7590603828430176,0,215,,,
0.6984694004058838,0,216,,,
0.7072228193283081,0,217,,,
0.6714726686477661,0,218,,,
0.7120788097381592,0,219,,,
0.7219759225845337,0,220,,,
0.71229088306427,0,221,,,
0.7103651762008667,0,222,,,
0.693825364112854,0,223,,,
0.7335813641548157,0,224,,,
0.6945197582244873,0,225,,,
0.7454602122306824,0,226,,,
0.7447950839996338,0,227,,,
0.7379230260848999,0,228,,,
0.7796263694763184,0,229,,,
0.7088972926139832,0,230,,,
0.6853882074356079,0,231,,,
0.7114467620849609,0,232,,,
0.7319904565811157,0,233,,,
0.7081694602966309,0,234,,,
0.7439277768135071,0,235,,,
0.7273231148719788,0,236,,,
0.7475272417068481,0,237,,,
0.7383841276168823,0,238,,,
0.704346239566803,0,239,,,
0.7564204335212708,0,240,,,
0.7663809657096863,0,241,,,
0.7002713680267334,0,242,,,
0.7291196584701538,0,243,,,
0.6930403113365173,0,244,,,
0.7119156122207642,0,245,,,
0.7530746459960938,0,246,,,
0.7080072164535522,0,247,,,
0.6957941055297852,0,248,,,
0.7308453321456909,0,249,,,
0.6772546768188477,0,250,,,
0.7258291244506836,0,251,,,
0.6694121360778809,0,252,,,
0.7366705536842346,0,253,,,
0.6790708303451538,0,254,,,
0.7142741680145264,0,255,,,
0.7253397703170776,0,256,,,
0.6882887482643127,0,257,,,
0.7503871917724609,0,258,,,
0.716543436050415,0,259,,,
0.6854734420776367,0,260,,,
