val_loss,epoch,step,train_loss
0.13261084258556366,0,2282,
,0,2282,0.15747131407260895
0.12780193984508514,1,4565,
,1,4565,0.12812243402004242
0.1247798278927803,2,6848,
,2,6848,0.12469153851270676
0.12395049631595612,3,9131,
,3,9131,0.12266762554645538
0.12220960855484009,4,11414,
,4,11414,0.12144435197114944
0.1221427470445633,5,13697,
,5,13697,0.1205810084939003
0.1209748387336731,6,15980,
,6,15980,0.11986453831195831
0.12060528248548508,7,18263,
,7,18263,0.11927168071269989
