train_loss_step,epoch,step,val_loss,train_loss_epoch
1.0267763137817383,0,0,,
1.0318559408187866,0,1,,
0.9891425967216492,0,2,,
0.9944066405296326,0,3,,
1.1528162956237793,0,4,,
0.9727919101715088,0,5,,
0.9612371325492859,0,6,,
0.9957854747772217,0,7,,
1.0407882928848267,0,8,,
0.8909658193588257,0,9,,
0.9840326905250549,0,10,,
0.9594863653182983,0,11,,
1.026513934135437,0,12,,
1.0643361806869507,0,13,,
0.9815298318862915,0,14,,
0.9747291803359985,0,15,,
0.981797993183136,0,16,,
1.0016379356384277,0,17,,
0.9485243558883667,0,18,,
1.003818154335022,0,19,,
1.0501083135604858,0,20,,
0.9913615584373474,0,21,,
0.9276382327079773,0,22,,
1.0012742280960083,0,23,,
1.0470679998397827,0,24,,
0.9311971664428711,0,25,,
0.9321187734603882,0,26,,
1.0092800855636597,0,27,,
0.9876037836074829,0,28,,
1.014262318611145,0,29,,
0.9166650772094727,0,30,,
0.9151636362075806,0,31,,
1.0404720306396484,0,32,,
0.9437761306762695,0,33,,
0.9886872172355652,0,34,,
0.9993934035301208,0,35,,
0.9489070177078247,0,36,,
1.0097768306732178,0,37,,
0.9833354353904724,0,38,,
0.9073612689971924,0,39,,
1.007995843887329,0,40,,
0.9366825819015503,0,41,,
0.9404350519180298,0,42,,
0.981706976890564,0,43,,
0.8743594884872437,0,44,,
0.9121423959732056,0,45,,
1.0157160758972168,0,46,,
0.9645880460739136,0,47,,
0.9520171880722046,0,48,,
0.9764658212661743,0,49,,
0.9563333988189697,0,50,,
1.0118337869644165,0,51,,
0.9246066212654114,0,52,,
1.029450535774231,0,53,,
0.9371568560600281,0,54,,
0.9703760147094727,0,55,,
0.9960434436798096,0,56,,
0.9413014650344849,0,57,,
0.8149346113204956,0,58,,
0.940744161605835,0,59,,
0.9060493111610413,0,60,,
0.9464013576507568,0,61,,
0.9621774554252625,0,62,,
0.8866928219795227,0,63,,
0.8323839902877808,0,64,,
0.9460288286209106,0,65,,
0.9659093618392944,0,66,,
0.924415111541748,0,67,,
0.819902777671814,0,68,,
0.8799974322319031,0,69,,
0.9325659275054932,0,70,,
0.9557960033416748,0,71,,
0.8633062243461609,0,72,,
0.859312891960144,0,73,,
0.8794233202934265,0,74,,
0.9401542544364929,0,75,,
0.9478707313537598,0,76,,
0.8940324783325195,0,77,,
0.8860771059989929,0,78,,
0.8769840598106384,0,79,,
0.9376928806304932,0,80,,
0.8816450238227844,0,81,,
0.9262208938598633,0,82,,
0.9018406867980957,0,83,,
0.9574155807495117,0,84,,
0.9207586646080017,0,85,,
0.9160844087600708,0,86,,
1.0053138732910156,0,87,,
0.8400108814239502,0,88,,
0.8838586211204529,0,89,,
0.8569008708000183,0,90,,
0.9330320954322815,0,91,,
0.8406753540039062,0,92,,
0.9378514885902405,0,93,,
0.8785490989685059,0,94,,
0.9223734140396118,0,95,,
0.8226259350776672,0,96,,
0.899784505367279,0,97,,
0.8771218061447144,0,98,,
0.9072365760803223,0,99,,
0.8740327954292297,0,100,,
0.8381146192550659,0,101,,
0.9226329922676086,0,102,,
0.8879438638687134,0,103,,
0.929438054561615,0,104,,
0.805199146270752,0,105,,
0.9020566344261169,0,106,,
0.9281476736068726,0,107,,
0.8716965913772583,0,108,,
0.8541181087493896,0,109,,
0.873543918132782,0,110,,
0.8046220541000366,0,111,,
0.8526064157485962,0,112,,
0.9614617228507996,0,113,,
0.8383452892303467,0,114,,
0.8766154050827026,0,115,,
0.8413001298904419,0,116,,
0.7969632744789124,0,117,,
0.8354464173316956,0,118,,
0.7596819996833801,0,119,,
0.8635315299034119,0,120,,
0.8514971137046814,0,121,,
0.8289413452148438,0,122,,
0.8154082298278809,0,123,,
0.8487109541893005,0,124,,
0.7732393145561218,0,125,,
0.8039640784263611,0,126,,
0.8078150749206543,0,127,,
0.8004766702651978,0,128,,
0.7659594416618347,0,129,,
0.7993312478065491,0,130,,
0.8852046728134155,0,131,,
0.8507785797119141,0,132,,
0.7622342109680176,0,133,,
0.9117692112922668,0,134,,
0.833943784236908,0,135,,
0.9026237726211548,0,136,,
0.8657412528991699,0,137,,
0.7834296226501465,0,138,,
0.7090855836868286,0,139,,
0.8109943866729736,0,140,,
0.802251935005188,0,141,,
0.8876153826713562,0,142,,
0.843535840511322,0,143,,
0.7668344974517822,0,144,,
0.777147114276886,0,145,,
0.8333224058151245,0,146,,
0.851240336894989,0,147,,
0.7867829203605652,0,148,,
0.8001286387443542,0,149,,
0.7589521408081055,0,150,,
0.7359732985496521,0,151,,
0.7641333341598511,0,152,,
0.763766884803772,0,153,,
0.7527652978897095,0,154,,
0.7695098519325256,0,155,,
0.8254089951515198,0,156,,
0.7442548871040344,0,157,,
0.7781779766082764,0,158,,
0.8204072117805481,0,159,,
0.7923930883407593,0,160,,
0.7961539626121521,0,161,,
0.7550811171531677,0,162,,
0.7498008608818054,0,163,,
0.7770287394523621,0,164,,
0.714939296245575,0,165,,
0.7839759588241577,0,166,,
0.7334789633750916,0,167,,
0.7427973747253418,0,168,,
0.7456228733062744,0,169,,
0.7217118144035339,0,170,,
0.75472092628479,0,171,,
0.6837480068206787,0,172,,
0.7656079530715942,0,173,,
0.7108157277107239,0,174,,
0.7091939449310303,0,175,,
0.7387256026268005,0,176,,
0.7157071828842163,0,177,,
